銘柄名,銘柄コード,市場,弁済期限(いちにち),弁済期限(14日),弁済期限(無期限),売建可能数量[株],優待権利付き最終日,株主優待,特別空売り料[円],現在値[円],前日比[円],当日株価変動率[％],日中出来高増減率[％],ティック数,出来高[株],直近高値騰落率[％],貸借区分,逆日歩[円]
"コマニー","7945","東証","○","-","-","100","-","無","0.00","1,461","-3","-0.81 %","-","11","1,700","-1.35 %","貸借","0.00"
"光陽社","7946","東証","○","-","-","100","-","無","2.70","899","-2","0.22 %","-","2","1,100","-3.85 %","信用","0.00"
"エフピコ","7947","東証","-","-","○","14,500","-","無","0.00","6,770","90","0.74 %","-","234","51,600","-0.29 %","貸借","0.15"
"小松ウオール工業","7949","東証","-","-","○","7,500","-","無","0.00","1,792","0","-0.61 %","-","26","4,000","-1.80 %","貸借","0.00"
"ヤマハ","7951","東証","○","-","○","1,900","03/26","有","0.00","5,130","30","0.39 %","-","737","488,900","-1.34 %","貸借","0.00"
"河合楽器","7952","東証","○","-","○","400","09/25","有","0.00","3,105","15","0.00 %","-","187","30,100","-1.74 %","貸借","0.10"
"菊水化学工業","7953","東証","○","-","-","400","-","無","1.00","389","-7","0.00 %","-","15","16,100","-2.75 %","信用","0.00"
"クリナップ","7955","東証","-","-","○","24,700","-","無","0.00","548","-5","-1.26 %","-","100","23,800","-3.85 %","貸借","0.00"
"ピジヨン","7956","東証","○","-","○","5,900","-","無","0.00","4,325","-30","0.00 %","-","933","421,400","-4.52 %","貸借","0.10"
"フジコピアン","7957","東証","○","-","-","300","-","無","2.80","1,942","32","-0.41 %","-","2","200","-0.41 %","信用","0.00"
"天馬","7958","東証","-","-","○","16,700","03/26","有","0.00","1,851","-43","-2.21 %","-","113","17,900","-4.48 %","貸借","0.05"
"キングジム","7962","東証","-","○","-","0","06/16","有","0.00","849","-6","-0.93 %","-","216","68,100","-3.85 %","貸借","0.05"
"興研","7963","東証","○","-","-","0","06/25","有","5.60","1,295","7","-1.59 %","-","20","5,400","-1.59 %","貸借","0.00"
"象印マホービン","7965","東証","○","-","-","900","11/15","有","0.00","1,152","13","1.40 %","-","433","130,000","-2.53 %","貸借","0.05"
"リンテック","7966","東証","-","-","○","61,300","-","無","0.00","2,217","-23","-0.98 %","-","527","119,100","-1.51 %","貸借","0.00"
"信越ポリマー","7970","東証","-","-","○","34,800","-","無","0.00","769","-1","0.52 %","-","313","70,100","-1.91 %","貸借","0.00"
"東リ","7971","東証","-","-","○","50,200","-","無","0.00","239","-2","-1.23 %","-","129","43,100","-2.84 %","貸借","0.00"
"イトーキ","7972","東証","-","-","○","11,900","-","無","0.00","447","2","0.00 %","-","186","63,000","-2.82 %","貸借","0.00"
"任天堂","7974","東証","○","-","○","18,800","-","無","0.00","38,150","0","0.05 %","-","5,213","1,117,500","-1.26 %","貸借","0.00"
"三菱鉛筆","7976","東証","-","-","○","29,000","-","無","0.00","1,793","14","2.34 %","-","390","62,600","-0.71 %","貸借","0.00"
"松風","7979","東証","○","-","-","100","09/25","有","0.00","1,378","6","0.43 %","-","50","10,300","-0.50 %","貸借","0.00"
"重松製作所","7980","東証","○","-","-","200","09/25","有","2.70","704","25","2.32 %","-","50","10,000","0.00 %","信用","0.00"
"タカラスタンダ－ド","7981","東証","-","-","○","50,200","-","無","0.00","1,679","-8","-0.53 %","-","159","42,300","-0.82 %","貸借","0.00"
"コクヨ","7984","東証","-","-","○","36,500","12/25","有","0.00","1,498","9","1.14 %","-","623","200,400","-0.13 %","貸借","0.00"
"ネポン","7985","東証","○","-","-","0","-","無","1.70","1,552","0","0.00 %","-","1","200","0.00 %","信用","0.00"
"日本アイ・エス・ケイ","7986","東証","○","-","-","100","-","無","2.80","1,093","14","1.20 %","-","15","2,000","-1.35 %","信用","0.00"
"ナカバヤシ","7987","東証","○","-","-","400","03/26","有","0.00","532","8","1.52 %","-","78","20,400","-1.84 %","貸借","0.00"
"ニフコ","7988","東証","-","-","○","9,300","09/25","有","0.00","2,687","2","1.09 %","-","1,436","368,100","-2.99 %","貸借","0.05"
"立川ブラインド","7989","東証","-","○","-","0","12/25","有","0.00","1,326","51","3.59 %","-","121","106,700","-0.15 %","貸借","0.05"
"マミヤ・オーピー","7991","東証","○","-","-","0","-","無","0.00","907","-2","-0.32 %","-","29","13,300","-1.19 %","貸借","0.00"
"セーラー万年筆","7992","東証","○","-","-","600","-","無","0.60","173","0","0.00 %","-","44","30,200","-3.35 %","信用","0.00"
"オカムラ","7994","東証","-","-","○","95,400","-","無","0.00","1,040","-21","-0.85 %","-","540","137,000","-2.71 %","貸借","0.00"
"バルカー","7995","東証","○","-","○","2,000","-","無","0.00","2,223","20","0.31 %","-","322","61,200","-1.46 %","貸借","0.00"
"くろがね工作所","7997","東証","○","-","-","700","-","無","0.90","0","0","-","-","0","0","-","信用","0.00"
"ＭＵＴＯＨホールディングス","7999","東証","○","-","-","100","03/26","有","0.00","1,700","14","-0.93 %","-","9","4,300","-1.10 %","貸借","0.05"
"伊藤忠","8001","東証","○","-","○","78,300","-","無","0.00","2,074.5","-0.5","-0.24 %","-","4,183","3,230,300","-0.55 %","貸借","0.05"
"丸紅","8002","東証","○","-","○","111,600","-","無","0.00","725.6","-3.6","-0.60 %","-","7,242","5,304,300","-1.58 %","貸借","0.00"
"スクロール","8005","東証","○","-","-","1,100","09/25","有","0.00","333","-2","0.60 %","-","136","73,900","-2.05 %","貸借","0.00"
"高島","8007","東証","-","-","○","1,100","-","無","0.00","1,674","-12","-2.04 %","-","25","6,100","-2.33 %","貸借","0.00"
"ヨンドシーホールディングス","8008","東証","○","-","○","1,400","02/25","有","0.00","2,486","16","0.64 %","-","205","41,200","-0.75 %","貸借","0.05"
"三陽商会","8011","東証","-","○","-","0","06/25","有","0.00","1,514","15","1.20 %","-","286","79,300","-2.00 %","貸借","0.05"
"長瀬産業","8012","東証","-","-","○","132,100","03/26","有","0.00","1,603","-18","-1.23 %","-","548","199,400","-1.65 %","貸借","0.00"
"ナイガイ","8013","東証","○","-","-","200","07/26","有","0.00","471","-1","0.21 %","-","60","12,200","-1.46 %","貸借","0.00"
"蝶理","8014","東証","-","-","○","14,900","-","無","0.00","1,717","17","0.17 %","-","69","12,100","-0.34 %","貸借","0.00"
"豊田通商","8015","東証","○","-","○","1,900","-","無","0.00","3,305","15","1.07 %","-","926","467,500","-1.04 %","貸借","0.00"
"オンワ－ドホールディングス","8016","東証","○","-","○","8,400","02/25","有","0.00","592","-5","-0.50 %","-","547","303,800","-3.10 %","貸借","0.00"
"三共生興","8018","東証","-","-","○","38,700","-","無","0.00","526","-2","0.00 %","-","43","15,200","-2.59 %","貸借","0.00"
"兼松","8020","東証","-","-","○","33,100","-","無","0.00","1,211","-7","-0.57 %","-","1,025","321,600","-2.73 %","貸借","0.00"
"美津濃","8022","東証","-","-","○","14,600","09/25","有","0.00","2,439","-45","-1.69 %","-","125","20,700","-2.28 %","貸借","0.00"
"大興電子通信","8023","東証","○","-","-","400","-","無","1.90","517","-11","-2.81 %","-","70","19,300","-5.13 %","信用","0.00"
"ツカモトコーポレーション","8025","東証","○","-","-","100","03/26","有","0.70","1,053","-20","-2.85 %","-","16","3,400","-3.30 %","信用","0.00"
"ユニー・ファミリーマートＨＤ","8028","東証","○","-","○","3,100","-","無","0.00","2,635","20","0.61 %","-","2,918","1,384,400","-2.94 %","貸借","0.05"
"ルックホールディングス","8029","東証","○","-","-","500","12/25","有","0.00","1,289","-20","-1.52 %","-","156","32,900","-1.67 %","貸借","0.00"
"中央魚類","8030","東証","○","-","-","600","03/26","有","0.00","2,665","0","0.00 %","-","3","300","-0.55 %","貸借","0.00"
"三井物産","8031","東証","○","-","○","90,400","-","無","0.00","1,755.5","-29.0","-1.59 %","-","4,611","4,304,300","-2.74 %","貸借","0.00"
"日本紙パルプ","8032","東証","-","-","○","11,900","03/26","有","0.00","3,605","-35","-0.96 %","-","53","8,900","-1.77 %","貸借","0.00"
"東京エレクトロン","8035","東証","○","-","○","18,300","-","無","0.00","14,320","-490","-2.25 %","-","5,709","1,581,300","-5.00 %","貸借","0.00"
"日立ハイテクノロジーズ","8036","東証","○","-","○","600","-","無","0.00","5,510","-40","-0.18 %","-","718","273,700","-1.60 %","貸借","0.00"
"カメイ","8037","東証","-","-","○","32,500","-","無","0.00","1,116","0","0.54 %","-","83","14,400","-3.20 %","貸借","0.00"
"築地魚市場","8039","東証","○","-","-","100","-","無","0.00","1,066","-1","0.47 %","-","8","1,200","-0.28 %","貸借","0.00"
"ＯＵＧホールディングス","8041","東証","○","-","-","600","09/25","有","0.00","2,642","15","-0.26 %","-","6","1,700","-0.26 %","貸借","0.00"
"スターゼン","8043","東証","○","-","○","1,100","09/25","有","0.00","4,200","5","-0.35 %","-","109","20,200","-0.59 %","貸借","0.00"
"大都魚類","8044","東証","○","-","-","100","-","無","1.70","936","-4","-0.42 %","-","8","3,700","-0.42 %","信用","0.00"
"丸藤シ－トパイル","8046","東証","○","-","-","400","-","無","0.00","2,206","-1","-0.80 %","-","8","1,900","-0.80 %","貸借","0.00"
"セイコーＨＤ","8050","東証","○","-","○","1,700","-","無","0.00","2,174","-16","0.83 %","-","597","108,200","-1.36 %","貸借","0.00"
"山善","8051","東証","-","-","○","105,200","-","無","0.00","1,050","-5","-0.47 %","-","441","311,400","-1.86 %","貸借","0.00"
"椿本興業","8052","東証","-","-","○","1,400","-","無","0.00","3,225","-65","-1.97 %","-","37","5,600","-2.71 %","貸借","0.00"
"住友商事","8053","東証","○","-","○","89,900","-","無","0.00","1,611.5","-1.5","-0.09 %","-","4,061","3,862,700","-1.07 %","貸借","0.00"
"日本ユニシス","8056","東証","-","-","○","79,000","-","無","0.00","3,725","-10","-0.13 %","-","506","170,700","-1.97 %","貸借","0.10"
"内田洋行","8057","東証","-","-","○","4,900","-","無","0.00","3,470","-30","-0.57 %","-","48","8,100","-3.34 %","貸借","0.10"
"三菱商事","8058","東証","○","-","○","137,000","-","無","0.00","2,860.0","-24.5","-0.76 %","-","6,007","3,622,400","-1.86 %","貸借","0.00"
"第一実業","8059","東証","-","-","○","10,800","-","無","0.00","3,035","-55","-0.97 %","-","88","14,100","-4.10 %","貸借","0.00"
"キヤノンマーケティングＪＰＮ","8060","東証","-","-","○","25,700","-","無","0.00","2,353","14","0.46 %","-","867","179,500","-0.50 %","貸借","0.00"
"西華産業","8061","東証","-","-","○","3,400","-","無","0.00","1,320","-16","-1.04 %","-","57","8,900","-4.83 %","貸借","0.00"
"佐藤商事","8065","東証","○","-","-","500","-","無","0.40","889","2","0.22 %","-","21","11,100","-3.99 %","信用","0.00"
"三谷商事","8066","東証","○","-","-","0","-","無","0.00","5,630","-10","0.71 %","-","3","400","-1.05 %","貸借","0.00"
"菱洋エレクトロ","8068","東証","○","-","-","400","07/26","有","0.00","1,742","-2","-0.45 %","-","206","40,300","-1.96 %","貸借","0.05"
"東京産業","8070","東証","-","-","○","14,300","-","無","0.00","484","-3","-0.41 %","-","71","18,500","-1.62 %","貸借","0.00"
"ユアサ商事","8074","東証","-","-","○","27,700","-","無","0.00","2,985","-20","-1.32 %","-","191","35,000","-2.29 %","貸借","0.00"
"神鋼商事","8075","東証","-","-","○","2,400","-","無","0.00","2,301","-23","-2.41 %","-","80","19,200","-2.41 %","貸借","0.00"
"小林産業","8077","東証","○","-","-","200","-","無","0.00","322","4","-0.61 %","-","25","15,100","-2.42 %","貸借","0.05"
"阪和興業","8078","東証","○","-","○","3,400","-","無","0.00","2,839","-14","-0.10 %","-","1,011","192,100","-2.80 %","貸借","0.00"
"正栄食品","8079","東証","○","-","-","500","10/28","有","0.00","3,275","5","0.92 %","-","187","32,600","-1.94 %","貸借","0.10"
"カナデン","8081","東証","○","-","○","600","03/26","有","0.30","1,337","-18","-0.96 %","-","54","11,000","-2.76 %","信用","0.00"
"菱電商事","8084","東証","-","-","○","18,800","-","無","0.00","1,645","1","-0.60 %","-","69","15,500","-1.02 %","貸借","0.00"
"ナラサキ産業","8085","東証","○","-","-","100","-","無","1.30","1,659","-21","-1.13 %","-","9","3,200","-1.65 %","信用","0.00"
"ニプロ","8086","東証","○","-","○","38,500","09/25","有","0.00","1,172","-10","-1.59 %","-","973","508,000","-2.81 %","貸借","0.00"
"フルサト工業","8087","東証","○","-","○","1,100","03/26","有","0.00","1,419","3","-1.86 %","-","43","9,700","-1.86 %","貸借","0.00"
"岩谷産業","8088","東証","-","-","○","4,600","-","無","0.00","3,720","-10","-0.53 %","-","316","90,600","-1.84 %","貸借","0.05"
"すてきナイスグループ","8089","東証","○","-","-","0","-","無","0.00","535","12","2.09 %","-","137","41,000","-0.55 %","貸借","0.05"
"昭光通商","8090","東証","○","-","-","200","-","無","0.00","639","11","-1.38 %","-","63","20,500","-1.38 %","貸借","0.00"
"ニチモウ","8091","東証","○","-","-","0","-","無","0.00","1,730","-5","0.00 %","-","16","3,700","-0.80 %","貸借","0.00"
"極東貿易","8093","東証","○","-","-","0","-","無","0.00","1,461","-3","0.41 %","-","32","3,900","-0.94 %","貸借","0.00"
"イワキ","8095","東証","○","-","-","800","-","無","0.00","505","-7","-0.78 %","-","265","117,400","-5.25 %","貸借","0.00"
"兼松エレクトロニクス","8096","東証","○","-","○","2,000","-","無","0.00","2,984","5","-0.30 %","-","41","7,700","-1.68 %","貸借","0.00"
"三愛石油","8097","東証","-","-","○","68,200","-","無","0.00","1,021","-20","-2.57 %","-","189","49,100","-4.31 %","貸借","0.05"
"稲畑産業","8098","東証","-","-","○","59,200","09/25","有","0.00","1,361","-38","-2.29 %","-","359","72,000","-4.42 %","貸借","0.00"
"ＧＳＩクレオス","8101","東証","○","-","-","800","-","無","0.00","1,185","0","-0.42 %","-","135","32,300","-1.25 %","貸借","0.00"
"明和産業","8103","東証","○","-","-","200","09/25","有","0.00","370","0","0.00 %","-","26","6,500","-0.80 %","貸借","0.00"
"クワザワ","8104","東証","○","-","-","500","03/26","有","1.00","443","-13","-4.52 %","-","73","22,800","-7.12 %","信用","0.00"
"堀田丸正","8105","東証","○","-","-","0","03/26","有","0.70","81","-1","-1.21 %","-","24","41,600","-1.21 %","信用","0.00"
"キムラタン","8107","東証","○","-","-","0","03/26","有","0.00","38","1","0.00 %","-","73","281,100","-2.56 %","貸借","0.00"
"ゴ－ルドウイン","8111","東証","○","-","-","500","03/26","有","0.00","14,390","140","2.12 %","-","975","165,900","-3.16 %","貸借","0.25"
"ユニ・チヤ－ム","8113","東証","○","-","○","8,700","-","無","0.00","3,235.0","7.0","0.52 %","-","2,608","975,200","-4.40 %","貸借","0.00"
"デサント","8114","東証","○","-","-","200","09/25","有","0.00","1,886","-19","-0.99 %","-","362","77,400","-2.43 %","貸借","0.00"
"ムーンバット","8115","東証","○","-","-","100","-","無","0.00","862","-14","0.11 %","-","11","3,600","-1.59 %","貸借","0.00"
"中央自動車","8117","東証","○","-","-","0","-","無","0.00","1,818","-1","-0.49 %","-","20","2,300","-1.03 %","貸借","0.00"
"キング","8118","東証","○","-","-","100","09/25","有","0.00","613","5","0.82 %","-","21","6,100","-0.96 %","貸借","0.05"
"三栄コーポレーシヨン","8119","東証","○","-","-","900","03/26","有","2.50","3,080","-20","-0.64 %","-","2","200","-1.59 %","信用","0.00"
"川辺","8123","東証","○","-","-","700","03/26","有","3.10","0","0","-","-","0","0","-","信用","0.00"
"ワキタ","8125","東証","-","-","○","8,200","-","無","0.00","1,036","-5","-0.19 %","-","229","50,400","-3.08 %","貸借","0.05"
"ヤマトインタ－ナシヨナル","8127","東証","○","-","-","200","08/27","有","0.00","419","1","-0.23 %","-","35","19,700","-0.47 %","貸借","0.00"
"東邦ホールディングス","8129","東証","-","-","○","6,000","03/26","有","0.00","2,446","-18","0.16 %","-","1,023","211,700","-2.12 %","貸借","0.00"
"サンゲツ","8130","東証","-","-","○","73,400","-","無","0.00","2,065","-8","-0.91 %","-","276","83,900","-2.41 %","貸借","0.05"
"ミツウロコグループ","8131","東証","○","-","○","15,100","09/25","有","0.00","806","1","-1.70 %","-","45","17,100","-2.30 %","貸借","0.05"
"シナネンホールディングス","8132","東証","○","-","○","4,300","-","無","0.00","1,831","20","-1.08 %","-","76","18,300","-1.08 %","貸借","0.00"
"伊藤忠エネクス","8133","東証","-","-","○","56,500","-","無","0.00","862","5","0.11 %","-","306","78,900","-0.46 %","貸借","0.00"
"ゼット","8135","東証","○","-","-","0","09/25","有","0.70","224","0","-1.32 %","-","83","43,800","-3.86 %","信用","0.00"
"サンリオ","8136","東証","○","-","-","3,300","09/25","有","0.00","2,428","-10","-0.08 %","-","850","191,200","-2.05 %","貸借","0.05"
"サンワテクノス","8137","東証","-","-","○","3,000","-","無","0.00","842","3","-0.23 %","-","131","23,800","-2.09 %","貸借","0.00"
"三京化成","8138","東証","○","-","-","300","-","無","0.00","2,752","2","-1.57 %","-","6","800","-1.57 %","貸借","0.05"
"ナガホリ","8139","東証","○","-","-","600","-","無","0.00","212","-6","-0.46 %","-","49","34,300","-7.01 %","貸借","0.00"
"リョーサン","8140","東証","-","-","○","21,400","-","無","0.00","2,478","-54","-1.47 %","-","233","37,000","-4.83 %","貸借","0.05"
"新光商事","8141","東証","○","-","○","4,300","-","無","0.00","1,864","-32","-1.79 %","-","111","23,500","-2.30 %","貸借","0.05"
"トーホー","8142","東証","○","-","-","100","07/26","有","0.00","2,048","30","-0.67 %","-","32","8,700","-0.67 %","貸借","0.05"
"ラピーヌ","8143","東証","○","-","-","0","08/27","有","1.90","715","-1","-0.13 %","-","5","1,900","-2.45 %","信用","0.00"
"トミタ","8147","東証","○","-","-","0","-","無","2.90","990","5","0.50 %","-","3","600","0.00 %","信用","0.00"
"三信電気","8150","東証","○","-","-","0","-","無","0.00","1,784","-14","-0.77 %","-","67","12,000","-3.20 %","貸借","0.00"
"東陽テクニカ","8151","東証","-","-","○","17,300","-","無","0.00","940","12","1.07 %","-","223","115,300","-0.52 %","貸借","0.00"
"ソマール","8152","東証","○","-","-","100","-","無","4.40","1,780","0","-1.54 %","-","4","600","-1.65 %","信用","0.00"
"モスフードサービス","8153","東証","○","-","○","2,500","09/25","有","0.00","2,353","18","0.64 %","-","630","114,500","-2.12 %","貸借","0.00"
"加賀電子","8154","東証","-","-","○","25,900","-","無","0.00","1,516","-2","-0.13 %","-","248","41,200","-2.06 %","貸借","0.00"
"三益半導体","8155","東証","○","-","-","900","-","無","0.00","1,572","-14","-0.56 %","-","378","75,400","-1.68 %","貸借","0.00"
"都築電気","8157","東証","○","-","-","1,100","09/25","有","0.00","1,298","79","7.53 %","-","455","113,300","0.00 %","貸借","0.00"
"ソーダニツカ","8158","東証","○","-","-","200","09/25","有","0.00","591","-13","-1.17 %","-","46","13,600","-2.63 %","貸借","0.05"
"立花エレテック","8159","東証","○","-","○","500","03/26","有","0.00","1,753","-19","-0.96 %","-","152","34,000","-1.40 %","貸借","0.05"
"木曽路","8160","東証","○","-","○","3,700","09/25","有","0.00","2,523","21","0.47 %","-","104","19,100","-0.74 %","貸借","0.05"
"ＳＲＳホールディングス","8163","東証","○","-","-","400","09/25","有","0.00","991","-5","-0.40 %","-","112","38,700","-1.09 %","貸借","0.05"
"千趣会","8165","東証","-","○","-","0","12/25","有","0.00","253","-7","-2.31 %","-","559","1,546,800","-6.29 %","貸借","0.05"
"タカキユー","8166","東証","○","-","-","200","02/25","有","0.00","171","-1","-1.15 %","-","15","17,200","-1.72 %","貸借","0.00"
"リテールパートナーズ","8167","東証","○","-","-","400","08/27","有","0.00","1,224","42","2.25 %","-","129","34,600","0.00 %","貸借","0.00"
"ケーヨー","8168","東証","○","-","-","700","08/27","有","0.00","472","3","1.07 %","-","102","58,900","-1.66 %","貸借","0.00"
"上新電機","8173","東証","-","-","○","28,200","09/25","有","0.00","2,090","-10","-0.47 %","-","56","9,200","-2.65 %","貸借","0.00"
"日本瓦斯","8174","東証","-","-","○","44,600","-","無","0.00","2,714","-40","-1.41 %","-","1,293","206,600","-3.51 %","貸借","0.00"
"ロイヤルホールディングス","8179","東証","-","○","-","0","12/25","有","0.00","2,662","-16","-0.52 %","-","905","775,000","-1.84 %","貸借","0.05"
"いなげや","8182","東証","-","-","○","6,400","09/25","有","0.00","1,366","-4","-0.29 %","-","75","10,000","-1.93 %","貸借","0.05"
"島忠","8184","東証","-","-","○","10,800","08/27","有","0.00","2,417","-1","0.66 %","-","815","179,200","-0.98 %","貸借","0.05"
"チヨダ","8185","東証","○","-","○","1,100","08/27","有","0.00","1,592","-12","-0.31 %","-","209","42,700","-3.74 %","貸借","0.00"
"大塚家具","8186","東証","○","-","-","3,000","12/25","有","2.50","251","-7","-4.56 %","-","200","151,500","-6.69 %","貸借","0.00"
"ライフコ－ポレ－ション","8194","東証","-","-","○","5,200","-","無","0.00","2,112","13","0.23 %","-","259","51,500","-1.35 %","貸借","0.00"
"マックスバリュ東海","8198","東証","○","-","-","200","02/25","有","2.60","1,973","-4","-0.65 %","-","41","5,200","-0.85 %","信用","0.00"
"リンガーハツト","8200","東証","○","-","○","0","08/27","有","0.00","2,250","15","0.76 %","-","376","105,000","-0.70 %","貸借","0.00"
"ラオックス","8202","東証","○","-","-","4,100","12/25","有","2.50","310","5","0.97 %","-","391","409,900","-0.32 %","貸借","0.00"
"ＭｒＭａｘＨＤ","8203","東証","○","-","-","1,000","08/27","有","0.00","448","2","0.44 %","-","185","63,500","-4.27 %","貸借","0.00"
"テンアライド","8207","東証","○","-","-","800","09/25","有","0.30","413","1","-0.48 %","-","31","29,100","-1.43 %","信用","0.00"
"フレンドリー","8209","東証","○","-","-","100","09/25","有","3.50","1,554","-15","-0.44 %","-","8","1,100","-1.33 %","信用","0.00"
"ＡＯＫＩホールディングス","8214","東証","-","-","○","46,700","09/25","有","0.00","1,068","-12","-0.28 %","-","516","126,800","-4.64 %","貸借","0.05"
"銀座山形屋","8215","東証","○","-","-","600","03/26","有","4.10","1,652","-3","0.00 %","-","1","100","-0.72 %","信用","0.00"
"オークワ","8217","東証","-","-","○","7,100","02/17","有","0.00","1,115","1","0.08 %","-","64","11,900","-1.67 %","貸借","0.05"
"コメリ","8218","東証","○","-","○","1,400","09/25","有","0.00","2,212","5","0.18 %","-","834","148,000","-1.20 %","貸借","0.00"
"青山商事","8219","東証","○","-","○","4,200","09/25","有","0.00","2,046","-14","0.24 %","-","1,220","276,700","-1.77 %","貸借","0.05"
"タカチホ","8225","東証","○","-","-","100","03/26","有","3.00","1,614","9","0.87 %","-","3","600","-0.92 %","信用","0.00"
"理経","8226","東証","○","-","-","6,500","-","無","1.20","204","2","0.99 %","-","201","226,500","-2.39 %","信用","0.00"
"しまむら","8227","東証","○","-","○","2,700","02/17","有","0.00","7,840","-140","-6.33 %","-","1,555","443,600","-6.33 %","貸借","0.15"
"高島屋","8233","東証","○","-","○","3,500","08/27","有","0.00","1,112","-2","-0.17 %","-","2,097","1,399,300","-1.76 %","貸借","0.00"
"松屋","8237","東証","○","-","○","1,600","08/27","有","0.00","854","-7","-0.81 %","-","238","53,900","-2.40 %","貸借","0.00"
"エイチ・ツー・オーリテイリング","8242","東証","○","-","○","5,900","09/25","有","0.00","1,200","0","0.58 %","-","1,749","570,800","-0.74 %","貸借","0.00"
"近鉄百貨店","8244","東証","○","-","○","500","08/27","有","0.00","3,210","0","0.00 %","-","16","3,000","-1.38 %","貸借","0.10"
"大和","8247","東証","○","-","-","100","08/27","有","1.90","517","-6","-0.76 %","-","14","1,800","-1.52 %","信用","0.00"
"テクノアソシエ","8249","東証","○","-","-","0","-","無","0.00","1,270","1","0.00 %","-","12","11,000","-0.15 %","貸借","0.00"
"パルコ","8251","東証","○","-","-","4,700","08/27","有","0.00","1,086","41","2.06 %","-","1,564","465,700","-2.16 %","貸借","0.00"
"丸井グループ","8252","東証","○","-","○","600","09/25","有","0.00","2,231","4","0.63 %","-","1,665","752,600","-2.78 %","貸借","0.05"
"クレディセゾン","8253","東証","○","-","○","1,800","-","無","0.00","1,252","-4","-0.23 %","-","1,525","941,000","-1.57 %","貸借","0.00"
"さいか屋","8254","東証","○","-","-","100","08/27","有","0.00","303","-1","-0.32 %","-","22","4,400","-2.88 %","貸借","0.00"
"アクシアルリテイリング","8255","東証","-","-","○","19,800","09/25","有","0.00","3,655","-15","-2.01 %","-","42","12,100","-2.40 %","貸借","0.10"
"プロルート丸光","8256","東証","○","-","-","1,700","-","無","0.50","82","1","0.00 %","-","22","20,000","-1.20 %","信用","0.00"
"井筒屋","8260","東証","○","-","-","800","08/27","有","0.00","256","0","-0.38 %","-","28","11,100","-8.24 %","貸借","0.05"
"イオン","8267","東証","○","-","○","105,800","08/27","有","0.00","1,846.5","-16.5","-0.88 %","-","3,352","1,758,600","-1.96 %","貸借","0.00"
"イズミ","8273","東証","○","-","○","500","08/27","有","0.00","4,315","15","-0.11 %","-","420","97,300","-2.37 %","貸借","0.00"
"フオーバル","8275","東証","○","-","-","200","-","無","0.00","901","8","-0.77 %","-","65","12,400","-3.01 %","貸借","0.00"
"平和堂","8276","東証","○","-","○","2,900","08/15","有","0.00","1,885","3","0.05 %","-","461","120,600","-2.33 %","貸借","0.00"
"フジ","8278","東証","-","-","○","5,900","08/27","有","0.00","1,774","9","0.73 %","-","158","25,700","-1.88 %","貸借","0.00"
"ヤオコー","8279","東証","○","-","○","900","09/25","有","0.00","4,880","-10","-0.30 %","-","136","25,600","-1.51 %","貸借","0.00"
"ゼビオホールディングス","8281","東証","○","-","○","8,000","09/25","有","0.00","1,222","-18","-1.13 %","-","236","60,400","-2.78 %","貸借","0.00"
"ケーズホールディングス","8282","東証","-","-","○","78,500","03/26","有","0.00","1,030","2","0.58 %","-","1,205","923,900","-0.67 %","貸借","0.00"
"ＰＡＬＴＡＣ","8283","東証","-","-","○","30,800","-","無","0.00","5,770","0","1.22 %","-","245","68,100","-0.85 %","貸借","0.10"
"三谷産業","8285","東証","○","-","-","200","03/26","有","0.00","279","1","1.08 %","-","38","12,400","-0.35 %","貸借","0.00"
"マックスバリュ西日本","8287","東証","○","-","-","100","02/25","有","4.10","1,719","0","-0.29 %","-","14","4,500","-0.46 %","信用","0.00"
"ＯＬＹＭＰＩＣグループ","8289","東証","○","-","-","100","-","無","0.00","669","-5","0.45 %","-","39","11,200","-1.76 %","貸借","0.00"
"日産東京販売ＨＤ","8291","東証","○","-","-","300","03/26","有","0.00","277","3","1.09 %","-","77","25,600","-0.35 %","貸借","0.00"
"ファミリー","8298","東証","○","-","-","100","-","無","0.40","0","0","-","-","0","0","-","信用","0.00"
"新生銀行","8303","東証","○","-","○","8,900","-","無","0.00","1,658","39","0.48 %","-","2,048","1,249,800","-0.65 %","貸借","0.05"
"あおぞら銀行","8304","東証","-","○","-","0","09/25","有","0.00","2,585","-30","-0.95 %","-","1,887","1,120,500","-1.26 %","貸借","0.00"
"三菱ＵＦＪフィナンシャルＧ","8306","東証","○","-","-","391,000","-","無","0.00","503.7","-0.6","0.19 %","-","10,786","31,727,100","-0.67 %","貸借","0.00"
"りそなホールディングス","8308","東証","○","-","○","177,300","03/26","有","0.00","441.1","-1.8","0.50 %","-","6,346","6,963,400","-0.87 %","貸借","0.00"
"三井住友トラストＨＤ","8309","東証","○","-","○","7,400","-","無","0.00","3,875","-43","-0.25 %","-","3,563","1,332,300","-1.19 %","貸借","0.00"
"三井住友フィナンシャルＧ","8316","東証","○","-","○","95,100","-","無","0.00","3,752","-7","0.08 %","-","3,920","2,735,400","-0.68 %","貸借","0.00"
"千葉銀行","8331","東証","-","-","○","901,600","03/26","有","0.00","533","1","0.18 %","-","1,568","3,045,900","-0.55 %","貸借","0.00"
"群馬銀行","8334","東証","-","-","○","474,600","03/26","有","0.00","377","-3","-0.78 %","-","679","715,600","-2.58 %","貸借","0.05"
